tt1714065|Jénífà|2008|Drama|N/A|Odunlade Adekola, Funke Akindele, Eniola Badmus, Yomi Fash-Lanso|1|0|Ended|https://image.tmdb.org/t/p/w500//q1XtCt0A6fSyUR52rRRoaZ8u1Tk.jpg|
tt3205064|Playboy Bong|2013|Comedy|"Director Yim Pil-Sung travels to Bali to shoot erotic horror movie ""Beach of Madness"". While shooting the film, Yim Pil-Sung becomes disappointed with the boring erotic scenes. He decides ..."|Man-dae Bong, Epani, Sung Eun, Lee Sun Ho|1|0|Ended|https://image.tmdb.org/t/p/w500//NHknWvdesSecj5yeMjdQBhRAqa.jpg|
tt0077651|Halloween|2007|Horror, Thriller|On Halloween night of 1963, six-year-old Michael Myers stabbed his sister to death. After sitting in a mental hospital for 15 years, Myers escapes and returns to Haddonfield to kill.|Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles|1|0|Ended|https://image.tmdb.org/t/p/w500//9CPYBA1Fq5BdCmViSPyfPiBOcTH.jpg|https://image.tmdb.org/t/p/w500//ewk1RjLDX4zynDZFGcDLHWblAbH.jpg
tt0188453|Birthday Girl|2001|Comedy, Crime, Thriller|A thirtysomething bank clerk from St Albans has his small-town life exploded by the arrival of his Russian mail-order bride.|Nicole Kidman, Ben Chaplin, Vincent Cassel, Mathieu Kassovitz|1|0|Ended|https://image.tmdb.org/t/p/w500//zqqL2HTiOwkZLpXBh5DyDHzaebz.jpg|https://image.tmdb.org/t/p/w500//jtbJuKqNvHS13LERgBlhpYr1ZOy.jpg
tt0866437|The Jane Austen Book Club|2007|Comedy, Drama, Romance|Six Californians start a club to discuss the works of Jane Austen, only to find their relationships -- both old and new -- begin to resemble 21st century versions of her novels.|Maria Bello, Emily Blunt, Kathy Baker, Amy Brenneman|1|0|Ended|https://image.tmdb.org/t/p/w500//8cDeATXsU7LgLNRIKcL2QEwE8tv.jpg|https://image.tmdb.org/t/p/w500//4MH3tKb1YsyDyyt4hjG8W7UZbnD.jpg
tt0286493|The Badge|2002|Crime, Drama, Mystery|A sheriff (Thornton) begins an investigation into the death of a local transsexual after hearing that high ranking politicians may have been involved. Although he is homophobic, his ...|Billy Bob Thornton, Patricia Arquette, William Devane, Sela Ward|1|0|Ended|https://image.tmdb.org/t/p/w500//2dxF1kPJeuuNMhV4ausxyyTsU3r.jpg|https://image.tmdb.org/t/p/w500//6G26EpcFxlbPuKiiP897hKMRcGk.jpg
tt1684925|Wish You Were Here|2005|Drama, Mystery|Four friends lose themselves in a carefree South-East Asian holiday. Only three come back. Dave and Alice return home to their young family desperate for answers about Jeremy s mysterious ...|Felicity Price, Joel Edgerton, Teresa Palmer, Antony Starr|1|0|Ended|https://image.tmdb.org/t/p/w500//m9ODbw1mCxUWtff2Lyyb9J5ebFK.jpg|https://image.tmdb.org/t/p/w500//mlCYppoo9zTa08UP453WDHFo81y.jpg
tt1739298|City Slacker|2012|Romance|Amanda is a corporate highflier who needs a slacker so she can have a baby and keep her career.|Fiona Gillies, Tom Conti, Geoffrey Streatfeild, Adrian Lukis|1|0|Ended|https://image.tmdb.org/t/p/w500//9NhUhbkLLlO5c1uuzihj3AeDaRu.jpg|
tt0298354|Guilt by Association|2002|Drama, Thriller|Life is good for Susan, her two children and new boyfriend Russell. But life abruptly changes when she discovers her perfect boyfriend is a drug dealer. Realising the danger this could ...|Mercedes Ruehl, Alberta Watson, Alex Carter, Karen Glave|1|0|Ended|https://image.tmdb.org/t/p/w500//wspnJ9z46FcLCKZvMVmOrsOvLEM.jpg|
tt0884326|Karma Calling|2009|Comedy|Established immigrants from India struggle to find personal balance and financial satisfaction while living the American Dream in New Jersey.|Tony Sirico, Darshan Jariwala, Ishani Desai, Gargi Mukherjee|1|0|Ended|https://image.tmdb.org/t/p/w500//hkMixNbQqVrBMzQ52N1QvjpxxRZ.jpg|
